2025-08-24 22:54:19,000 - Model Hyperparameters:
2025-08-24 22:54:19,000 - train: ../Embedding/esm_train_ICIdentification.pkl
2025-08-24 22:54:19,000 - valid: ../Embedding/esm_valid_ICIdentification.pkl
2025-08-24 22:54:19,000 - test: ../Embedding/esm_test_ICIdentification.pkl
2025-08-24 22:54:19,000 - input_size: 1280
2025-08-24 22:54:19,000 - random_seed: 42
2025-08-24 22:54:19,000 - hidden_size: 256
2025-08-24 22:54:19,000 - num_layers: 1
2025-08-24 22:54:19,000 - batch_size: 64
2025-08-24 22:54:19,000 - num_epochs: 20
2025-08-24 22:54:19,000 - learning_rate: 5e-05
2025-08-24 22:54:19,000 - dropout: 0.3
2025-08-24 22:54:19,000 - bidirectional: True
2025-08-24 22:56:47,911 - Epoch 1: Train Loss = 0.0687 | Val MCC = 0.0000 | Precision = 0.0000 | Recall = 0.0000 | AUROC = 0.8678
2025-08-24 22:57:54,141 - Epoch 2: Train Loss = 0.0481 | Val MCC = 0.4493 | Precision = 0.7857 | Recall = 0.2619 | AUROC = 0.9094
2025-08-24 22:58:59,499 - Epoch 3: Train Loss = 0.0319 | Val MCC = 0.5699 | Precision = 0.7308 | Recall = 0.4524 | AUROC = 0.9151
2025-08-24 22:59:59,905 - Epoch 4: Train Loss = 0.0239 | Val MCC = 0.6071 | Precision = 0.8261 | Recall = 0.4524 | AUROC = 0.9162
2025-08-24 23:01:00,023 - Epoch 5: Train Loss = 0.0171 | Val MCC = 0.5939 | Precision = 0.7917 | Recall = 0.4524 | AUROC = 0.9162
2025-08-24 23:01:57,250 - Epoch 6: Train Loss = 0.0130 | Val MCC = 0.6441 | Precision = 0.8400 | Recall = 0.5000 | AUROC = 0.9193
2025-08-24 23:02:54,609 - Epoch 7: Train Loss = 0.0091 | Val MCC = 0.6212 | Precision = 0.8636 | Recall = 0.4524 | AUROC = 0.9280
2025-08-24 23:03:51,470 - Epoch 8: Train Loss = 0.0067 | Val MCC = 0.6607 | Precision = 0.7742 | Recall = 0.5714 | AUROC = 0.9268
2025-08-24 23:04:48,451 - Epoch 9: Train Loss = 0.0055 | Val MCC = 0.6021 | Precision = 0.8571 | Recall = 0.4286 | AUROC = 0.9262
2025-08-24 23:05:45,439 - Epoch 10: Train Loss = 0.0035 | Val MCC = 0.6312 | Precision = 0.8077 | Recall = 0.5000 | AUROC = 0.9266
2025-08-24 23:06:42,465 - Epoch 11: Train Loss = 0.0026 | Val MCC = 0.6312 | Precision = 0.8077 | Recall = 0.5000 | AUROC = 0.9235
2025-08-24 23:07:39,698 - Epoch 12: Train Loss = 0.0022 | Val MCC = 0.6148 | Precision = 0.7333 | Recall = 0.5238 | AUROC = 0.9309
2025-08-24 23:08:37,170 - Epoch 13: Train Loss = 0.0013 | Val MCC = 0.6371 | Precision = 0.7857 | Recall = 0.5238 | AUROC = 0.9248
2025-08-24 23:09:34,571 - Epoch 14: Train Loss = 0.0006 | Val MCC = 0.6257 | Precision = 0.7586 | Recall = 0.5238 | AUROC = 0.9246
2025-08-24 23:10:35,623 - Epoch 15: Train Loss = 0.0003 | Val MCC = 0.6190 | Precision = 0.7778 | Recall = 0.5000 | AUROC = 0.9264
2025-08-24 23:11:35,642 - Epoch 16: Train Loss = 0.0009 | Val MCC = 0.5966 | Precision = 0.7241 | Recall = 0.5000 | AUROC = 0.9189
2025-08-24 23:12:33,165 - Epoch 17: Train Loss = 0.0017 | Val MCC = 0.6075 | Precision = 0.7500 | Recall = 0.5000 | AUROC = 0.9230
2025-08-24 23:13:30,569 - Epoch 18: Train Loss = 0.0014 | Val MCC = 0.6223 | Precision = 0.7188 | Recall = 0.5476 | AUROC = 0.9221
2025-08-24 23:14:28,684 - Epoch 19: Train Loss = 0.0002 | Val MCC = 0.6312 | Precision = 0.8077 | Recall = 0.5000 | AUROC = 0.9245
2025-08-24 23:15:26,656 - Epoch 20: Train Loss = 0.0001 | Val MCC = 0.6312 | Precision = 0.8077 | Recall = 0.5000 | AUROC = 0.9239
2025-08-24 23:15:26,677 - Best model saved at ./model_2025-08-24_23-15-26.pth
2025-08-24 23:15:30,886 - 
Test Metrics:
2025-08-24 23:15:30,886 - MCC = 0.7806
2025-08-24 23:15:30,886 - Precision = 0.8966
2025-08-24 23:15:30,886 - Recall = 0.6842
2025-08-24 23:15:30,886 - AUROC = 0.9653
2025-08-24 23:15:30,886 - 
Detailed Test Predictions:
2025-08-24 23:15:30,886 - Sample 0: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,886 - Sample 1: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,886 - Sample 2: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,886 - Sample 3: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 4: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 5: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 6: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 7: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 8: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 9: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 10: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 11: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 12: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 13: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 14: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 15: Predicted Label = 0, Probability = 0.0024, True Label = 1.0
2025-08-24 23:15:30,887 - Sample 16: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 17: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 18: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 19: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 20: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 21: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 22: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 23: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 24: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 25: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 26: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 27: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 28: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,887 - Sample 29: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 30: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 31: Predicted Label = 1, Probability = 0.9993, True Label = 1.0
2025-08-24 23:15:30,888 - Sample 32: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 33: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 34: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 35: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 36: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 37: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 38: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 39: Predicted Label = 0, Probability = 0.0018, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 40: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 41: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 42: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 43: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
2025-08-24 23:15:30,888 - Sample 44: Predicted Label = 0, Probability = 0.0000, True Label = 0.0
